日期,煤源_保證_A,煤源_保證_B,煤源_保證_C,煤源_保證_D,用煤量_保證_A,用煤量_保證_B,用煤量_保證_C,用煤量_保證_D,熱值_kcalkg_保證_A,熱值_kcalkg_保證_B,熱值_kcalkg_保證_C,熱值_kcalkg_保證_D,揮發份_pct_保證_A,揮發份_pct_保證_B,揮發份_pct_保證_C,揮發份_pct_保證_D,總水份_pct_保證_A,總水份_pct_保證_B,總水份_pct_保證_C,總水份_pct_保證_D,灰份_pct_保證_A,灰份_pct_保證_B,灰份_pct_保證_C,灰份_pct_保證_D,用煤量合計_保證,發電量_保證_MWh,平均熱值_保證_kcalkg,保證時段發電量_avg_MW,保證時段發電量_max_MW,保證時段發電量_min_MW,燃燒器角度_度,主蒸汽溫度_C,再熱蒸汽溫度_C,溫度Tag_C,原煤耗_g,未燃碳_飛灰保證_pct,熱耗率,SCR入口NOx,SCR入口CO,冷凝器真空度,冷凝器出口水溫_C,燃燒風門開度_A_pct,燃燒風門開度_B_pct,燃燒風門開度_C_pct,燃燒風門開度_D_pct,火上風門開度_FCP,火上風門開度_FCS,火上風門開度_FCT,火上風門開度_FCF
2026-01-02,哈薩克,哈薩克,印尼,印尼,798,790.3125,753.3125,640.96875,6220,6220,6025,6025,38.38,38.38,38.07,38.07,13.1,13.1,16.5,16.5,2.7,2.7,4.4,4.4,2982.59375,8337,6128.84281717884,646.3317277132703,656.0897827148438,630.5867919921875,-29.56735051212482,532.3044892334296,528.1362485214019,387.4447742027449,351.6002415458937,2.4719185784797864,9018.858245400701,91.55410465311913,2400.687665326342,7.63671875,40.28125,60,60,60,60,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579
2026-01-05,哈薩克,哈薩克,印尼,印尼,834.0625,821.125,743.1875,618.3125,6220,6220,6025,6025,38.38,38.38,38.07,38.07,13.1,13.1,16.5,16.5,2.7,2.7,4.4,4.4,3016.6875,8403,6131.992044253838,649.10536033845,659.2796630859375,640.3723754882812,-30,539.3129954710507,535.0517559368998,393.2992824109965,361.6851229319096,3.5644167332152294,9276.025095082723,105.804077246125,2257.848955728333,7.4375,39.80693054199219,60,60,60,60,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579
2026-01-06,哈薩克,哈薩克,印尼,印尼,853.875,803.625,785.25,615.375,6220,6220,6317,6317,38.38,38.38,38.07,38.07,13.1,13.1,14.8,14.8,2.7,2.7,3.97,3.97,3058.125,8431,6264.426118945432,649.7221519684853,657.15283203125,640.0372314453125,-30,538.2892126261654,533.865223902899,395.44194771233043,364.63604995070654,2.9845605462185953,9557.739546302992,110.85797833236323,2334.0906965228874,7.387745380401611,39.53125,60,60,60,60,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579
2026-01-07,哈薩克,哈薩克,印尼,印尼,844.4375,831.8125,758.875,564.75,6220,6220,6317,6317,38.38,38.38,38.07,38.07,13.1,13.1,14.8,14.8,2.7,2.7,3.97,3.97,2999.875,8424,6262.798991624651,649.7354403834819,657.6708374023438,625.673828125,-30,534.956337356079,530.5784250178807,397.9556671416103,354.64460864985847,3.985593700957176,9292.531339230467,113.14969137780339,2486.73564501578,7.375,39.65071105957031,60,60,60,60,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579
2026-01-08,哈薩克,哈薩克,印尼+澳洲,印尼+澳洲,785.8125,775.5,762,608.375,6220,6220,5946,5946,38.38,38.38,32.5,32.5,13.1,13.1,12.45,12.45,2.7,2.7,10.98,10.98,2931.6875,8384,6091.922655467201,648.5208348423014,657.6875,639.29296875,-30,540.8754145076424,536.5145237100872,397.54464952222213,350.17003613800625,3.309014420915382,8938.196613357424,136.77371279317194,2271.1238050277652,7.166162014007568,39,60,60,60,60,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579
2026-01-09,澳洲,澳洲,印尼+澳洲,印尼+澳洲,706.6875,728.375,746.875,609.21875,6327,6327,5946,5946,29.75,29.75,32.5,32.5,10,10,12.45,12.45,13.9,13.9,10.98,10.98,2791.15625,8271,6141.8897186425875,636.8881135828354,658.4151000976562,623.5546875,-30,532.5190262446483,528.5863393473411,383.17805010103234,338.42749435366017,2.7613906749472457,8697.156741231569,145.4210466880652,916.0157953767862,7,38.70588684082031,60,60,60,60,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579
2026-01-10,澳洲,澳洲,印尼+澳洲,印尼+澳洲,749.3125,718.375,741.4375,585.40625,6327,6327,5946,5946,29.75,29.75,32.5,32.5,10,10,12.45,12.45,13.9,13.9,10.98,10.98,2794.53125,8224,6146.101157394464,631.9002840086017,640.8904418945312,617.84375,-29.708180589956754,527.5851866347231,523.9454568430648,376.92110494889613,340.2573897377727,3.563082237007482,8749.83922209248,127.41423917763059,1087.2040122468095,6.887718677520752,38.17464828491211,60,60,60,60,1.100000023841858,1.100000023841858,1.100000023841858,1.100000023841858
2026-01-12,澳洲,澳洲,印尼+澳洲,印尼+澳洲,776.5625,707.4375,735.375,578.0625,6327,6327,5946,5946,29.75,29.75,32.5,32.5,10,10,12.45,12.45,13.9,13.9,10.98,10.98,2797.4375,8211,6148.11497129069,631.1907187069164,644.51611328125,587.5604858398438,-30,527.129580371969,523.5706485059594,373.1576396243673,343.6665068164691,3.891504882336292,8844.822758169486,119.17671326699543,1860.5504678489303,7.654573440551758,40.26847457885742,60,60,60,60,1.100000023841858,1.100000023841858,1.100000023841858,1.100000023841858
2026-01-13,澳洲,澳洲,印尼+澳洲,印尼+澳洲,720.3125,697,730.3125,614.78125,6327,6327,5946,5946,29.75,29.75,32.5,32.5,10,10,12.45,12.45,13.9,13.9,10.98,10.98,2762.40625,8204,6141.480321730375,631.4878379255914,645.0307006835938,574.2820434570312,-30,522.368594395519,518.7790548835002,372.20967150894535,338.82991212182196,3.383757798043548,8708.697187965385,122.71146497347901,1196.8047475778187,6.791477680206299,38.0625,60,60,60,60,1,1,1,1
2026-01-14,澳洲,澳洲,印尼,印尼,716.375,685.75,764.9375,635.5625,6327,6327,6317,6317,29.75,29.75,38.07,38.07,10,10,14.8,14.8,13.9,13.9,3.97,3.97,2802.625,8279,6322.002899067838,637.9883709295326,648.2319946289062,628.771240234375,-30,524.9916121596411,521.4737902066162,372.5575380215419,342.541999334664,4.462213432979752,9060.594607102461,107.29965194330936,1936.7849157042754,6.9375,38.34375,60,60,60,60,1.2000000476837158,1.2000000476837158,1.2000000476837158,1.2000000476837158
