日期,磨煤機,煤源_保證,用煤量_保證,熱值_kcalkg_保證,揮發份_pct_保證,總水份_pct_保證,灰份_pct_保證,用煤量合計_保證,發電量_保證_MWh,平均熱值_保證_kcalkg,保證時段發電量_avg_MW,保證時段發電量_max_MW,保證時段發電量_min_MW,燃燒器角度_度,主蒸汽溫度_C,再熱蒸汽溫度_C,溫度Tag_C,原煤耗_g,未燃碳_飛灰保證_pct,熱耗率,SCR入口NOx,SCR入口CO,冷凝器真空度,冷凝器出口水溫_C,燃燒風門開度_A_pct,燃燒風門開度_B_pct,燃燒風門開度_C_pct,燃燒風門開度_D_pct,火上風門開度_FCP,火上風門開度_FCS,火上風門開度_FCT,火上風門開度_FCF
2026-01-02,A,哈薩克,781.6875,6220,38.38,13.1,2.7,2870.03125,8399,6137.835062771529,648.4561915873262,653.0009155273438,645.3359375,-30,530.0625582217559,529.5583452329746,388.63259016322723,334.11854352385944,2.0268313819761845,8581.22178806699,93.81024752139434,961.2507340044126,8,41.46430969238281,60,60,50,50,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579
2026-01-02,B,哈薩克,879.03125,6220,38.38,13.1,2.7,2870.03125,8399,6137.835062771529,648.4561915873262,653.0009155273438,645.3359375,-30,530.0625582217559,529.5583452329746,388.63259016322723,334.11854352385944,2.0268313819761845,8581.22178806699,93.81024752139434,961.2507340044126,8,41.46430969238281,60,60,50,50,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579
2026-01-02,C,印尼,557.65625,6025,38.07,16.5,4.4,2870.03125,8399,6137.835062771529,648.4561915873262,653.0009155273438,645.3359375,-30,530.0625582217559,529.5583452329746,388.63259016322723,334.11854352385944,2.0268313819761845,8581.22178806699,93.81024752139434,961.2507340044126,8,41.46430969238281,60,60,50,50,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579
2026-01-02,D,印尼,651.65625,6025,38.07,16.5,4.4,2870.03125,8399,6137.835062771529,648.4561915873262,653.0009155273438,645.3359375,-30,530.0625582217559,529.5583452329746,388.63259016322723,334.11854352385944,2.0268313819761845,8581.22178806699,93.81024752139434,961.2507340044126,8,41.46430969238281,60,60,50,50,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579
2026-01-05,A,哈薩克,780.90625,6220,38.38,13.1,2.7,2930.8125,8417,6136.181146439767,647.8125536984495,651.6024169921875,643.3516845703125,-30,530.6222779570712,529.9203315373419,389.3486964266065,349.01862206526715,2.220903900284455,8958.518210630435,96.59572929548393,2361.1851184761936,8.432706832885742,42.602542877197266,60,60,50,50,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579
2026-01-05,B,哈薩克,890.125,6220,38.38,13.1,2.7,2930.8125,8417,6136.181146439767,647.8125536984495,651.6024169921875,643.3516845703125,-30,530.6222779570712,529.9203315373419,389.3486964266065,349.01862206526715,2.220903900284455,8958.518210630435,96.59572929548393,2361.1851184761936,8.432706832885742,42.602542877197266,60,60,50,50,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579
2026-01-05,C,印尼,571.34375,6025,38.07,16.5,4.4,2930.8125,8417,6136.181146439767,647.8125536984495,651.6024169921875,643.3516845703125,-30,530.6222779570712,529.9203315373419,389.3486964266065,349.01862206526715,2.220903900284455,8958.518210630435,96.59572929548393,2361.1851184761936,8.432706832885742,42.602542877197266,60,60,50,50,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579
2026-01-05,D,印尼,688.4375,6025,38.07,16.5,4.4,2930.8125,8417,6136.181146439767,647.8125536984495,651.6024169921875,643.3516845703125,-30,530.6222779570712,529.9203315373419,389.3486964266065,349.01862206526715,2.220903900284455,8958.518210630435,96.59572929548393,2361.1851184761936,8.432706832885742,42.602542877197266,60,60,50,50,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579
2026-01-06,A,哈薩克,788.25,6220,38.38,13.1,2.7,2890.84375,8430,6259.258434496849,648.0641142315877,650.54736328125,642.5828247070312,-30,535.7040633471461,534.9809442146487,391.03498615650756,344.06699934554973,2.319980825629575,9012.037260209425,99.47888951417579,2005.267592406914,7.756501197814941,40.95985412597656,60,60,50,50,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579
2026-01-06,B,哈薩克,932.59375,6220,38.38,13.1,2.7,2890.84375,8430,6259.258434496849,648.0641142315877,650.54736328125,642.5828247070312,-30,535.7040633471461,534.9809442146487,391.03498615650756,344.06699934554973,2.319980825629575,9012.037260209425,99.47888951417579,2005.267592406914,7.756501197814941,40.95985412597656,60,60,50,50,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579
