日期,煤源_保證_A,煤源_保證_B,煤源_保證_C,煤源_保證_D,用煤量_保證_A,用煤量_保證_B,用煤量_保證_C,用煤量_保證_D,熱值_kcalkg_保證_A,熱值_kcalkg_保證_B,熱值_kcalkg_保證_C,熱值_kcalkg_保證_D,揮發份_pct_保證_A,揮發份_pct_保證_B,揮發份_pct_保證_C,揮發份_pct_保證_D,總水份_pct_保證_A,總水份_pct_保證_B,總水份_pct_保證_C,總水份_pct_保證_D,灰份_pct_保證_A,灰份_pct_保證_B,灰份_pct_保證_C,灰份_pct_保證_D,用煤量合計_保證,發電量_保證_MWh,平均熱值_保證_kcalkg,保證時段發電量_avg_MW,保證時段發電量_max_MW,保證時段發電量_min_MW,燃燒器角度_度,主蒸汽溫度_C,再熱蒸汽溫度_C,溫度Tag_C,原煤耗_g,未燃碳_飛灰保證_pct,熱耗率,SCR入口NOx,SCR入口CO,冷凝器真空度,冷凝器出口水溫_C,燃燒風門開度_A_pct,燃燒風門開度_B_pct,燃燒風門開度_C_pct,燃燒風門開度_D_pct,火上風門開度_FCP,火上風門開度_FCS,火上風門開度_FCT,火上風門開度_FCF
2026-01-02,哈薩克,哈薩克,印尼,印尼,781.6875,879.03125,557.65625,651.65625,6220,6220,6025,6025,38.38,38.38,38.07,38.07,13.1,13.1,16.5,16.5,2.7,2.7,4.4,4.4,2870.03125,8399,6137.835062771529,648.4561915873262,653.0009155273438,645.3359375,-30,530.0625582217559,529.5583452329746,388.63259016322723,334.11854352385944,2.0268313819761845,8581.22178806699,93.81024752139434,961.2507340044126,8,41.46430969238281,60,60,50,50,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579
2026-01-05,哈薩克,哈薩克,印尼,印尼,780.90625,890.125,571.34375,688.4375,6220,6220,6025,6025,38.38,38.38,38.07,38.07,13.1,13.1,16.5,16.5,2.7,2.7,4.4,4.4,2930.8125,8417,6136.181146439767,647.8125536984495,651.6024169921875,643.3516845703125,-30,530.6222779570712,529.9203315373419,389.3486964266065,349.01862206526715,2.220903900284455,8958.518210630435,96.59572929548393,2361.1851184761936,8.432706832885742,42.602542877197266,60,60,50,50,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579
2026-01-06,哈薩克,哈薩克,印尼,印尼,788.25,932.59375,538.75,631.25,6220,6220,6317,6317,38.38,38.38,38.07,38.07,13.1,13.1,14.8,14.8,2.7,2.7,3.97,3.97,2890.84375,8430,6259.258434496849,648.0641142315877,650.54736328125,642.5828247070312,-30,535.7040633471461,534.9809442146487,391.03498615650756,344.06699934554973,2.319980825629575,9012.037260209425,99.47888951417579,2005.267592406914,7.756501197814941,40.95985412597656,60,60,50,50,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579
2026-01-07,哈薩克,哈薩克,印尼,印尼,780.46875,919.8125,534.8125,653.03125,6220,6220,6317,6317,38.38,38.38,38.07,38.07,13.1,13.1,14.8,14.8,2.7,2.7,3.97,3.97,2888.125,8405,6259.894687297122,646.9640693371863,655.74951171875,636.8359375,-30,533.1030381284511,532.4210364504141,389.90737422694014,343.6150284667234,2.422272845645635,8999.417128214776,106.25433043847468,1214.42838584812,7.7109375,40.8125,60,60,50,50,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579
2026-01-08,哈薩克,哈薩克,印尼+澳洲,印尼+澳洲,789.46875,813.5625,545.09375,720.28125,6220,6220,5946,5946,38.38,38.38,32.5,32.5,13.1,13.1,12.45,12.45,2.7,2.7,10.98,10.98,2868.40625,8419,6099.1270413666125,648.522872183329,653.005859375,645.3325805664062,-30,535.9876841057888,535.284736037407,387.6550169100987,340.9978751225891,2.1237527162112038,8707.335479274272,129.81354904663243,1238.6405901695184,7.5793776512146,40.5,60,60,50,50,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579
2026-01-09,澳洲,澳洲,印尼+澳洲,印尼+澳洲,791.15625,771.0625,533.59375,704.9375,6327,6327,5946,5946,29.75,29.75,32.5,32.5,10,10,12.45,12.45,13.9,13.9,10.98,10.98,2800.75,8402,6158.516413014371,648.4672957710598,650.5433959960938,645.3412475585938,-30,531.8857867330046,531.2991803470861,381.05007536005274,333.0484785887599,1.9194873283434126,8582.525972506395,137.65497882173858,926.536697436539,7.489204406738281,40.28569412231445,60,60,50,50,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579
2026-01-10,澳洲,澳洲,印尼+澳洲,印尼+澳洲,788.3125,769.65625,525.84375,716.4375,6327,6327,5946,5946,29.75,29.75,32.5,32.5,10,10,12.45,12.45,13.9,13.9,10.98,10.98,2800.25,8435,6157.976107044014,647.8492174855888,650.3519897460938,642.5850830078125,-30,528.6818242775188,528.3532796901259,376.8783769009208,332.89170695061404,2.177939764248579,8575.94214195192,121.1646430275657,612.0845597348964,7.4176716804504395,40.09375,60,60,50,50,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929
2026-01-12,澳洲,澳洲,印尼+澳洲,印尼+澳洲,744.96875,775.59375,633.5,658.8125,6327,6327,5946,5946,29.75,29.75,32.5,32.5,10,10,12.45,12.45,13.9,13.9,10.98,10.98,2812.875,8412,6151.958072257033,647.3617585711467,650.53955078125,642.27880859375,-30,529.6471762370209,529.3613282813,374.15134444584766,335.9211087070548,1.6436802108230244,8648.465462381982,113.11389724790058,1359.6120447312671,7.41015625,39.875,60,60,50,50,1,1,1,1
2026-01-13,澳洲,澳洲,印尼+澳洲,印尼+澳洲,745.5625,733.4375,630.53125,665.90625,6327,6327,5946,5946,29.75,29.75,32.5,32.5,10,10,12.45,12.45,13.9,13.9,10.98,10.98,2775.4375,8359,6149.0306933591555,643.0367098366818,650.8743286132812,571.4921875,-30,521.6897874116593,521.5397861690741,371.9334655839869,332.3021222856393,2.08168631312852,8548.691970970282,120.37725493056216,595.2494170742059,7.4375,39.99557876586914,60,60,50,50,1,1,1,1
2026-01-14,澳洲,澳洲,印尼,印尼,761.21875,749.4375,612.40625,668.4375,6327,6327,6317,6317,29.75,29.75,38.07,38.07,10,10,14.8,14.8,13.9,13.9,3.97,3.97,2791.5,8416,6322.411629052481,647.3286412231757,650.0140991210938,643.55078125,-30,531.8514703611405,531.5816819976143,372.8771043452655,333.6111566186107,1.6619383752898973,8824.95054077654,108.188584018761,781.4448043198042,7.393131256103516,40.00432205200195,60,60,50,50,1.5,1.5,1.5,1.5
